symbol,name,exchange,sector,industry,currency
MMM.US,3M,NYSE/NASDAQ,Industrials,Industrial Conglomerates,USD
AOS.US,A. O. Smith,NYSE/NASDAQ,Industrials,Building Products,USD
ABT.US,Abbott Laboratories,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
ABBV.US,AbbVie,NYSE/NASDAQ,Health Care,Biotechnology,USD
ACN.US,Accenture,NYSE/NASDAQ,Information Technology,IT Consulting & Other Services,USD
ADBE.US,Adobe Inc.,NYSE/NASDAQ,Information Technology,Application Software,USD
AMD.US,Advanced Micro Devices,NYSE/NASDAQ,Information Technology,Semiconductors,USD
AES.US,AES Corporation,NYSE/NASDAQ,Utilities,Independent Power Producers & Energy Traders,USD
AFL.US,Aflac,NYSE/NASDAQ,Financials,Life & Health Insurance,USD
A.US,Agilent Technologies,NYSE/NASDAQ,Health Care,Life Sciences Tools & Services,USD
APD.US,Air Products,NYSE/NASDAQ,Materials,Industrial Gases,USD
ABNB.US,Airbnb,NYSE/NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD
AKAM.US,Akamai Technologies,NYSE/NASDAQ,Information Technology,Internet Services & Infrastructure,USD
ALB.US,Albemarle Corporation,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
ARE.US,Alexandria Real Estate Equities,NYSE/NASDAQ,Real Estate,Office REITs,USD
ALGN.US,Align Technology,NYSE/NASDAQ,Health Care,Health Care Supplies,USD
ALLE.US,Allegion,NYSE/NASDAQ,Industrials,Building Products,USD
LNT.US,Alliant Energy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
ALL.US,Allstate,NYSE/NASDAQ,Financials,Property & Casualty Insurance,USD
GOOGL.US,Alphabet Inc. (Class A),NYSE/NASDAQ,Communication Services,Interactive Media & Services,USD
GOOG.US,Alphabet Inc. (Class C),NYSE/NASDAQ,Communication Services,Interactive Media & Services,USD
MO.US,Altria,NYSE/NASDAQ,Consumer Staples,Tobacco,USD
AMZN.US,Amazon,NYSE/NASDAQ,Consumer Discretionary,Broadline Retail,USD
AMCR.US,Amcor,NYSE/NASDAQ,Materials,Paper & Plastic Packaging Products & Materials,USD
AEE.US,Ameren,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
AEP.US,American Electric Power,NYSE/NASDAQ,Utilities,Electric Utilities,USD
AXP.US,American Express,NYSE/NASDAQ,Financials,Consumer Finance,USD
AIG.US,American International Group,NYSE/NASDAQ,Financials,Multi-line Insurance,USD
AMT.US,American Tower,NYSE/NASDAQ,Real Estate,Telecom Tower REITs,USD
AWK.US,American Water Works,NYSE/NASDAQ,Utilities,Water Utilities,USD
AMP.US,Ameriprise Financial,NYSE/NASDAQ,Financials,Asset Management & Custody Banks,USD
AME.US,Ametek,NYSE/NASDAQ,Industrials,Electrical Components & Equipment,USD
AMGN.US,Amgen,NYSE/NASDAQ,Health Care,Biotechnology,USD
APH.US,Amphenol,NYSE/NASDAQ,Information Technology,Electronic Components,USD
ADI.US,Analog Devices,NYSE/NASDAQ,Information Technology,Semiconductors,USD
AON.US,Aon plc,NYSE/NASDAQ,Financials,Insurance Brokers,USD
APA.US,APA Corporation,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
APO.US,Apollo Global Management,NYSE/NASDAQ,Financials,Asset Management & Custody Banks,USD
